year,tract,asthma,asthma_ci_low,asthma_ci_high,data_value_unit,totalpopulation,totalpop18plus
2022,17031031900,8.6,7.7,9.7,%,2522,2143
2022,17031062600,8.3,7.3,9.3,%,2477,1760
2022,17031070101,8.9,7.9,9.9,%,4171,3912
2022,17031151200,8.6,7.7,9.7,%,3880,3116
2022,17031241100,9.0,8.0,10.0,%,3574,3044
2022,17031291600,9.5,8.5,10.7,%,874,689
2022,17031480100,11.0,9.7,12.3,%,2001,1699
2022,17031490901,13.4,12.0,14.9,%,3403,2726
2022,17031700501,11.5,10.3,12.8,%,6912,5681
2022,17031803611,9.4,8.4,10.6,%,5698,4377
2022,17031815100,8.9,7.9,9.9,%,4318,3265
2022,17031817300,10.3,9.2,11.5,%,2799,1959
2022,17031830006,11.0,9.8,12.3,%,2526,1973
2022,17031010400,10.2,9.1,11.4,%,5079,4742
2022,17031020200,8.6,7.7,9.6,%,7128,5014
2022,17031010600,9.1,8.1,10.1,%,6225,5441
2022,17031010100,10.3,9.2,11.5,%,4905,4083
2022,17031020500,9.5,8.5,10.7,%,6599,5078
2022,17031010701,9.4,8.3,10.5,%,3673,2814
2022,17031020301,8.7,7.7,9.7,%,5261,3907
2022,17031010201,11.1,9.9,12.4,%,6939,5333
2022,17031020400,9.4,8.4,10.5,%,4435,3479
2022,17031010503,11.0,9.8,12.3,%,2565,2354
2022,17031010702,10.4,9.3,11.7,%,4776,3774
2022,17031010202,9.7,8.7,10.9,%,2742,2296
2022,17031020100,10.0,8.9,11.2,%,4202,3253
2022,17031010502,9.9,8.8,11.1,%,3278,2991
2022,17031010300,9.6,8.6,10.8,%,6305,5606
2022,17031020302,9.1,8.1,10.1,%,5010,3925
2022,17031020601,9.2,8.2,10.3,%,6699,4677
2022,17031010501,9.3,8.3,10.4,%,4206,3762
2022,17031210502,9.4,8.3,10.5,%,4099,3288
2022,17031251200,11.6,10.3,12.8,%,3910,3001
2022,17031520600,9.6,8.6,10.8,%,2530,1897
2022,17031050100,8.8,7.9,9.9,%,2568,2070
2022,17031260700,12.4,11.1,13.9,%,1691,1220
2022,17031191100,10.2,9.1,11.4,%,7533,5436
2022,17031230400,9.6,8.5,10.7,%,2235,1698
2022,17031040600,9.2,8.2,10.4,%,2530,2150
2022,17031610800,9.6,8.6,10.8,%,1512,1184
2022,17031340500,7.9,7.0,8.8,%,1629,1484
2022,17031160502,8.8,7.8,9.8,%,3300,2670
2022,17031151002,9.0,8.0,10.1,%,4588,3481
2022,17031351500,11.6,10.4,13.0,%,823,660
2022,17031050600,8.4,7.4,9.4,%,2443,2001
2022,17031150401,9.0,8.0,10.0,%,4681,3724
2022,17031431301,13.0,11.6,14.5,%,3590,2567
2022,17031251900,13.4,12.0,15.0,%,5387,3909
2022,17031040202,8.8,7.9,9.9,%,7318,5924
2022,17031250200,10.5,9.3,11.7,%,2779,2150
2022,17031430800,11.1,10.0,12.5,%,1862,1447
2022,17031222900,8.8,7.8,9.9,%,1089,862
2022,17031161200,8.6,7.6,9.6,%,2820,2156
2022,17031251500,12.4,11.1,13.9,%,4342,3091
2022,17031460100,11.8,10.5,13.2,%,2840,2216
2022,17031520100,9.9,8.8,11.1,%,1745,1264
2022,17031460302,12.1,10.8,13.5,%,3282,2467
2022,17031241500,8.2,7.3,9.2,%,2954,2598
2022,17031140602,9.3,8.3,10.5,%,5041,3832
2022,17031221100,8.7,7.7,9.7,%,4440,3824
2022,17031222700,9.4,8.3,10.5,%,2082,1701
2022,17031491000,13.5,12.1,15.1,%,3807,2832
2022,17031490600,10.7,9.4,12.0,%,1443,1145
2022,17031160900,8.4,7.5,9.4,%,2410,1956
2022,17031020801,8.6,7.6,9.6,%,5648,4525
2022,17031310800,9.3,8.3,10.5,%,4175,3421
2022,17031100400,8.9,7.9,10.0,%,3207,2480
2022,17031081800,8.1,7.2,9.0,%,11373,10668
2022,17031060500,9.3,8.3,10.4,%,1374,1148
2022,17031580600,9.0,8.0,10.1,%,5405,3862
2022,17031240200,8.3,7.4,9.3,%,1556,1333
2022,17031081402,8.0,7.1,9.0,%,7052,6471
2022,17031110501,8.8,7.8,9.8,%,4786,3805
2022,17031030101,9.3,8.3,10.4,%,3687,3387
2022,17031030200,8.7,7.8,9.8,%,5627,4785
2022,17031030601,9.0,8.0,10.1,%,3293,2913
